-0.0641140086,-0.0045874724,-0.0028839652
-0.0584165049,-0.0039386462,-0.0037887047
-0.0524338803,-0.0032328972,-0.0045803384
-0.0470745977,-0.0024019234,-0.0052588717
-0.0417239143,-0.0016847720,-0.0063991641
-0.0359962998,-0.0007171725,-0.0069551651
-0.0304057305,0.0001252215,-0.0075394307
-0.0244472712,0.0008424046,-0.0078692551
-0.0188094875,0.0016051330,-0.0078504081
-0.0127302474,0.0022540293,-0.0080765722
-0.0068890674,0.0028915486,-0.0086419781
-0.0067145562,0.0027093995,-0.0085288974
-0.0069441761,0.0029712390,-0.0085854378
-0.0063747168,0.0028573956,-0.0085854378
-0.0057225859,0.0031192358,-0.0078881022
-0.0055205155,0.0028573956,-0.0077184785
-0.0054102949,0.0026410937,-0.0070776730
-0.0056399208,0.0025955566,-0.0069080466
-0.0054929604,0.0025272510,-0.0072661460
-0.0059797653,0.0028573956,-0.0078315610
-0.0064665655,0.0028573956,-0.0081236896
-0.0065767837,0.0032330797,-0.0082933119
-0.0062093886,0.0030395452,-0.0078315610
-0.0066594472,0.0030281608,-0.0075582779
-0.0072564575,0.0025841723,-0.0073321114
-0.0073391199,0.0025955566,-0.0075582779
-0.0075687369,0.0027207838,-0.0082933119
-0.0078901990,0.0027093995,-0.0086419781
-0.0081473671,0.0027890896,-0.0091225682
-0.0083126888,0.0025386352,-0.0082179243
-0.0078075375,0.0024134084,-0.0072001805
-0.0079177528,0.0023564872,-0.0059373959
-0.0081473671,0.0022881819,-0.0050515431
-0.0082575816,0.0021060347,-0.0046840038
-0.0082024744,0.0024247927,-0.0047028520
-0.0085698548,0.0022312608,-0.0041468262
-0.0089464168,0.0019808089,-0.0037981290
-0.0086341460,0.0017189739,-0.0032797907
-0.0085147479,0.0015823648,-0.0027331737
-0.0083126888,0.0015709807,-0.0027331737
-0.0089188636,0.0016506693,-0.0024410139
-0.0091392889,0.0013205316,-0.0025635328
-0.0096903480,0.0012749956,-0.0027143248
-0.0099475068,0.0016051330,-0.0027708716
-0.0100577173,0.0012180755,-0.0028179940
-0.0102046643,0.0011611555,-0.0028745408
-0.0097730064,0.0012180755,-0.0025446837
-0.0102597693,0.0013546837,-0.0021017295
-0.0105444775,0.0011383875,-0.0019226618
-0.0107465275,0.0014002199,-0.0026577778
-0.0105995822,0.0013205316,-0.0036850374
-0.0109210246,0.0012636115,-0.0047593967
-0.0113710405,0.0013205316,-0.0062295355
-0.0111138890,0.0008651725,-0.0066536060
-0.0111689930,0.0008651725,-0.0063237737
-0.0111965450,0.0011156196,-0.0062483831
-0.0115363514,0.0012294595,-0.0066913010
-0.0114169602,0.0011839235,-0.0077279021
-0.0115914549,0.0011839235,-0.0077750198
-0.0119588102,0.0006033426,-0.0073698059
-0.0120230971,0.0005350393,-0.0067478434
-0.0117567651,0.0007399493,-0.0057300700
-0.0111965450,0.0004553523,-0.0045897625
-0.0113067527,0.0007171815,-0.0040148870
-0.0111965450,0.0007057976,-0.0041845231
-0.0109118405,0.0003984331,-0.0043164619
-0.0111138890,0.0003415139,-0.0039866143
-0.0113343046,0.0004553523,-0.0038546746
-0.0114812478,0.0005919587,-0.0039112202
-0.0110587850,0.0005122716,-0.0039866143
-0.0115087996,0.0007741011,-0.0043164619
-0.0115087996,0.0006261103,-0.0048159413
-0.0116190067,0.0008993243,-0.0053531117
-0.0112792008,0.0006374942,-0.0063237737
-0.0116557423,0.0007171815,-0.0068232332
-0.0121057515,0.0009220922,-0.0065970635
-0.0116190067,0.0009790119,-0.0062483831
-0.0113985923,0.0011156196,-0.0058054614
-0.0110220489,0.0011156196,-0.0058054614
-0.0111965450,0.0013888358,-0.0055698631
-0.0108567363,0.0011953075,-0.0052400237
-0.0109118405,0.0008765564,-0.0054285036
-0.0111322570,0.0006147265,-0.0051457835
-0.0115363514,0.0010017798,-0.0040054628
-0.0117292135,0.0010473157,-0.0041185536
-0.0113894084,0.0011156196,-0.0046934279
-0.0115547193,0.0010359317,-0.0054850475
-0.0113343046,0.0008993243,-0.0062860784
-0.0115363514,0.0009220922,-0.0068609281
